Node,Technology,Period,Capacity
Austria,Wind_onshr,1,4021.0
Belgium,Wind_onshr,1,3242.0
Bosnia H,Wind_onshr,1,500.0
Bulgaria,Wind_onshr,1,705.0
Croatia,Wind_onshr,1,1143.0
Czech R,Wind_onshr,1,500.0
Denmark,Wind_onshr,1,4860.0
Estonia,Wind_onshr,1,500.0
Finland,Wind_onshr,1,6884.0
France,Wind_onshr,1,22194.0
Germany,Wind_onshr,1,61052.0
Great Brit.,Wind_onshr,1,16000.0
Greece,Wind_onshr,1,5220.0
Hungary,Wind_onshr,1,500.0
Ireland,Wind_onshr,1,4782.0
Italy,Wind_onshr,1,12308.0
Latvia,Wind_onshr,1,500.0
Lithuania,Wind_onshr,1,1288.0
Luxemb.,Wind_onshr,1,500.0
Macedonia,Wind_onshr,1,500.0
NO1,Wind_onshr,1,500.0
NO2,Wind_onshr,1,1447.0
NO3,Wind_onshr,1,2120.0
NO4,Wind_onshr,1,1160.0
NO5,Wind_onshr,1,500.0
Netherlands,Wind_onshr,1,6812.0
Poland,Wind_onshr,1,9628.0
Portugal,Wind_onshr,1,5592.0
Romania,Wind_onshr,1,3087.0
Serbia,Wind_onshr,1,646.0
Slovakia,Wind_onshr,1,500.0
Slovenia,Wind_onshr,1,500.0
Spain,Wind_onshr,1,31021.0
Sweden,Wind_onshr,1,16700.0
Switzerland,Wind_onshr,1,500.0
Austria,Wind_onshr,2,7034.0
Belgium,Wind_onshr,2,6387.0
Bosnia H,Wind_onshr,2,923.0
Bulgaria,Wind_onshr,2,932.0
Croatia,Wind_onshr,2,2957.0
Czech R,Wind_onshr,2,1082.0
Denmark,Wind_onshr,2,6262.0
Estonia,Wind_onshr,2,1043.0
Finland,Wind_onshr,2,20571.0
France,Wind_onshr,2,45585.0
Germany,Wind_onshr,2,84759.0
Great Brit.,Wind_onshr,2,28332.0
Greece,Wind_onshr,2,10962.0
Hungary,Wind_onshr,2,1080.0
Ireland,Wind_onshr,2,8473.0
Italy,Wind_onshr,2,18846.0
Latvia,Wind_onshr,2,1419.0
Lithuania,Wind_onshr,2,4097.0
